time	V(v+)	I(I1)
Step Information: Illu=86  (Step: 1/7)
1.807360759703442e-01	1.296320e-03	9.359390e-03
2.051501384703442e-01	1.141879e-03	9.359462e-03
2.344470134703442e-01	9.990500e-04	9.359529e-03
2.686267009703442e-01	8.718250e-04	9.359590e-03
3.096423259703442e-01	7.562576e-04	9.359644e-03
3.584704509703442e-01	6.531811e-04	9.359692e-03
4.180407634703442e-01	5.600534e-04	9.359736e-03
4.912829509703442e-01	4.765205e-04	9.359776e-03
5.830798259703442e-01	4.014709e-04	9.359811e-03
6.992907634703442e-01	3.347315e-04	9.359842e-03
8.496813884703442e-01	2.754696e-04	9.359870e-03
9.785876384703442e-01	2.391746e-04	9.359888e-03
9.990954509703442e-01	2.342641e-04	9.359890e-03
1.000000000000000e+00	2.340520e-04	9.359890e-03
Step Information: Illu=21.7K  (Step: 6/7)
0.000000000000000e+00	5.162839e-01	0.000000e+00
5.242879851721227e-04	5.102183e-01	5.242880e-03
1.048575970344245e-03	5.014337e-01	1.048576e-02
2.025138470344245e-03	4.575659e-01	2.021929e-02
3.001700970344245e-03	3.607821e-01	2.789420e-02
3.978263470344245e-03	2.490422e-01	2.809303e-02
4.954825970344245e-03	1.772286e-01	2.812202e-02
5.931388470344245e-03	1.403616e-01	2.814453e-02
6.907950970344245e-03	1.167457e-01	2.815566e-02
7.884513470344245e-03	1.001149e-01	2.816331e-02
8.861075970344245e-03	8.771265e-02	2.816902e-02
9.837638470344245e-03	7.806796e-02	2.817346e-02
1.081420097034425e-02	7.033890e-02	2.815179e-02
1.179076347034425e-02	6.403179e-02	2.816187e-02
1.276732597034425e-02	5.878614e-02	2.816867e-02
1.374388847034425e-02	5.433818e-02	2.817382e-02
1.472045097034425e-02	5.051853e-02	2.817783e-02
1.569701347034425e-02	4.720245e-02	2.818102e-02
1.667357597034425e-02	4.429625e-02	2.818363e-02
1.765013847034425e-02	4.172815e-02	2.818579e-02
1.862670097034425e-02	3.944227e-02	2.818761e-02
1.960326347034425e-02	3.739441e-02	2.818917e-02
2.155638847034425e-02	3.387780e-02	2.819168e-02
2.350951347034425e-02	3.096678e-02	2.819363e-02
2.546263847034425e-02	2.851713e-02	2.819519e-02
2.741576347034425e-02	2.642708e-02	2.819647e-02
3.034545097034425e-02	2.381009e-02	2.819800e-02
3.327513847034425e-02	2.166511e-02	2.819921e-02
3.620482597034425e-02	1.987492e-02	2.820019e-02
3.913451347034425e-02	1.835817e-02	2.820100e-02
4.304076347034425e-02	1.666286e-02	2.820189e-02
4.694701347034425e-02	1.525432e-02	2.820262e-02
5.182982597034425e-02	1.379662e-02	2.820336e-02
5.671263847034425e-02	1.259330e-02	2.820396e-02
6.257201347034425e-02	1.140019e-02	2.820455e-02
6.940795097034425e-02	1.026558e-02	2.820511e-02
7.624388847034425e-02	9.336401e-03	2.820556e-02
8.405638847034425e-02	8.461169e-03	2.820599e-02
9.284545097034425e-02	7.653987e-03	2.820637e-02
1.026110759703442e-01	6.920448e-03	2.820672e-02
1.133532634703442e-01	6.260473e-03	2.820704e-02
1.260485759703442e-01	5.626363e-03	2.820734e-02
1.397204509703442e-01	5.073010e-03	2.820761e-02
1.553454509703442e-01	4.560423e-03	2.820785e-02
1.729235759703442e-01	4.094946e-03	2.820807e-02
1.924548259703442e-01	3.677845e-03	2.820827e-02
2.149157634703442e-01	3.292210e-03	2.820845e-02
2.403063884703442e-01	2.943338e-03	2.820861e-02
2.686267009703442e-01	2.632221e-03	2.820876e-02
3.008532634703442e-01	2.349607e-03	2.820889e-02
3.379626384703442e-01	2.091078e-03	2.820902e-02
3.799548259703442e-01	1.859548e-03	2.820912e-02
4.287829509703442e-01	1.647445e-03	2.820922e-02
4.854235759703442e-01	1.454939e-03	2.820932e-02
5.508532634703442e-01	1.281904e-03	2.820940e-02
6.270251384703442e-01	1.126004e-03	2.820947e-02
7.168688884703442e-01	9.847466e-04	2.820954e-02
8.233142009703442e-01	8.573222e-04	2.820960e-02
9.502673259703442e-01	7.427024e-04	2.820965e-02
9.785876384703442e-01	7.211933e-04	2.820966e-02
9.990954509703442e-01	7.063795e-04	2.820967e-02
1.000000000000000e+00	7.057398e-04	2.820967e-02
Step Information: Illu=61.4K  (Step: 7/7)
0.000000000000000e+00	5.458323e-01	0.000000e+00
3.001700970344245e-03	5.321805e-01	3.001701e-02
4.954825970344245e-03	5.175802e-01	4.954826e-02
5.931388470344245e-03	5.054485e-01	5.931389e-02
6.907950970344245e-03	4.812568e-01	6.904441e-02
7.884513470344245e-03	4.273970e-01	7.771769e-02
8.861075970344245e-03	3.507181e-01	7.958675e-02
9.837638470344245e-03	2.868955e-01	7.963841e-02
1.081420097034425e-02	2.460924e-01	7.969885e-02
1.179076347034425e-02	2.170115e-01	7.971684e-02
1.276732597034425e-02	1.946646e-01	7.972823e-02
1.374388847034425e-02	1.767919e-01	7.973686e-02
1.472045097034425e-02	1.620923e-01	7.974383e-02
1.569701347034425e-02	1.497494e-01	7.974964e-02
1.667357597034425e-02	1.391882e-01	7.975459e-02
1.765013847034425e-02	1.300326e-01	7.969979e-02
1.862670097034425e-02	1.220647e-01	7.971640e-02
1.960326347034425e-02	1.150636e-01	7.972790e-02
2.057982597034425e-02	1.088340e-01	7.973721e-02
2.155638847034425e-02	1.032539e-01	7.974485e-02
2.350951347034425e-02	9.366944e-02	7.975658e-02
2.546263847034425e-02	8.572946e-02	7.976513e-02
2.741576347034425e-02	7.904072e-02	7.977160e-02
2.936888847034425e-02	7.332703e-02	7.977667e-02
3.229857597034425e-02	6.616178e-02	7.978249e-02
3.522826347034425e-02	6.027815e-02	7.978688e-02
3.815795097034425e-02	5.535922e-02	7.979031e-02
4.108763847034425e-02	5.118496e-02	7.979307e-02
4.499388847034425e-02	4.651145e-02	7.979599e-02
4.890013847034425e-02	4.262172e-02	7.979833e-02
5.378295097034425e-02	3.858936e-02	7.980065e-02
5.866576347034425e-02	3.525509e-02	7.980251e-02
6.452513847034425e-02	3.194393e-02	7.980430e-02
7.038451347034425e-02	2.920191e-02	7.980575e-02
7.722045097034425e-02	2.654415e-02	7.980713e-02
8.503295097034425e-02	2.404365e-02	7.980841e-02
9.382201347034425e-02	2.174002e-02	7.980956e-02
1.035876384703442e-01	1.964855e-02	7.981060e-02
1.143298259703442e-01	1.776840e-02	7.981153e-02
1.260485759703442e-01	1.608902e-02	7.981235e-02
1.387438884703442e-01	1.459473e-02	7.981307e-02
1.533923259703442e-01	1.318214e-02	7.981375e-02
1.690173259703442e-01	1.194861e-02	7.981434e-02
1.865954509703442e-01	1.081059e-02	7.981489e-02
2.061267009703442e-01	9.776060e-03	7.981538e-02
2.285876384703442e-01	8.806881e-03	7.981584e-02
2.530017009703442e-01	7.950192e-03	7.981625e-02
2.803454509703442e-01	7.169142e-03	7.981662e-02
3.106188884703442e-01	6.465865e-03	7.981695e-02
3.447985759703442e-01	5.821147e-03	7.981726e-02
3.828845134703442e-01	5.239058e-03	7.981753e-02
4.258532634703442e-01	4.707933e-03	7.981778e-02
4.746813884703442e-01	4.221599e-03	7.981801e-02
5.293688884703442e-01	3.783823e-03	7.981822e-02
5.908923259703442e-01	3.388515e-03	7.981841e-02
6.602282634703442e-01	3.031579e-03	7.981857e-02
7.393298259703442e-01	2.706350e-03	7.981873e-02
8.291735759703442e-01	2.412400e-03	7.981887e-02
9.317126384703442e-01	2.146336e-03	7.981899e-02
9.785876384703442e-01	2.043315e-03	7.981904e-02
9.990954509703442e-01	2.001289e-03	7.981906e-02
1.000000000000000e+00	1.999474e-03	7.981906e-02
